ELITE DANGEROUS LEGACY CONSOLE - MATERIAL TRADERS

Snapshot: EDDB stations, 22 August 2022
Legacy-compatible entries: 1,634
Raw: 677 | Manufactured: 539 | Encoded: 418
Distances are straight-line light-years from Sol.

+-------------+-----------------------------+--------------------------------+--------------+
| Sol distance | System                      | Station                        | Trader type  |
|       94.41 | 50 Omega Tauri              | Mondeh Port                    | Raw          |
|       94.45 | DP Camelopardalis           | Zewail Dock                    | Manufactured |
|       94.63 | Qama                        | Thurston Ring                  | Encoded      |
|       94.72 | Gilya                       | Bell Orbital                   | Encoded      |
|       94.95 | Valtys                      | Oleskiw City                   | Raw          |
|       95.04 | Naunin                      | MacLeod Hub                    | Manufactured |
|       95.20 | Seleru Bao                  | Leinster Ring                  | Encoded      |
|       95.31 | Didarengu                   | Bolotov Gateway                | Raw          |
|       95.33 | Kalumar                     | Andreas Ring                   | Manufactured |
|       95.42 | Vaka                        | Zenbei Orbital                 | Encoded      |
|       95.43 | Nanditi                     | Hale Orbital                   | Manufactured |
|       95.45 | Tote                        | Whitelaw Enterprise            | Encoded      |
|       95.54 | LP 350-75                   | Butler Dock                    | Manufactured |
|       95.54 | Fetill                      | Huygens City                   | Manufactured |
|       95.55 | LTT 12696                   | Low Orbital                    | Raw          |
|       95.61 | Wolf 1022                   | McDivitt Port                  | Encoded      |
|       95.68 | Pemede                      | Leavitt Orbital                | Raw          |
|       95.74 | Marowalan                   | Carter City                    | Raw          |
|       96.35 | LTT 1798                    | Gilliland Ring                 | Encoded      |
|       96.68 | Onyaksas                    | Sadi Carnot Orbital            | Encoded      |
|       96.75 | HR 692                      | Zindell Gateway                | Encoded      |
|       96.75 | Svass                       | Maria's Rest                   | Encoded      |
|       96.84 | Tsondama                    | Trinh Terminal                 | Manufactured |
|       96.92 | LHS 5116                    | Britnev Dock                   | Manufactured |
|       97.00 | Hixkar                      | Dobrovolski Gateway            | Manufactured |
|       97.05 | HERZ 13422                  | Hassanein Hub                  | Encoded      |
|       97.35 | Cimmerighe                  | Van Scyoc Station              | Manufactured |
|       97.57 | BD+24 1451                  | Marshburn Terminal             | Encoded      |
|       97.57 | Skeller                     | Linge Station                  | Raw          |
|       97.62 | Katocudatta                 | Burke Hub                      | Manufactured |
|       97.80 | Parenses                    | Dobrovolskiy Ring              | Encoded      |
|       97.80 | LHS 6326                    | Semeonis Dock                  | Manufactured |
|       97.84 | Wolf 363                    | Pirsan Station                 | Raw          |
|       97.97 | Merki                       | Conti Hub                      | Manufactured |
|       97.97 | Ross 209                    | Janes Terminal                 | Raw          |
|       98.01 | Manbatz                     | Bretnor Terminal               | Manufactured |
|       98.08 | Allowair                    | Skripochka Survey              | Raw          |
|       98.08 | Ryijin                      | Bryant Gateway                 | Manufactured |
|       98.27 | Dread                       | von Bellingshausen Port        | Manufactured |
|       98.28 | Tjapan                      | Berezovoy Ring                 | Manufactured |
|       98.55 | Sons                        | Ross Enterprise                | Encoded      |
|       98.90 | Yu Di Yi                    | Aksyonov Orbital               | Raw          |
|       98.91 | Corngari                    | Tedin Station                  | Raw          |
|       99.01 | Orishis                     | Piccard Dock                   | Manufactured |
|       99.32 | Lalande 9828                | Adams Orbital                  | Manufactured |
|       99.35 | Chelmen                     | Emshwiller Hub                 | Encoded      |
|       99.45 | 25 Nu-2 Draconis            | Avicenna City                  | Manufactured |
|       99.47 | Lumbla                      | Perrin Ring                    | Raw          |
|       99.60 | Na Chem                     | Rorschach Horizons             | Encoded      |
|       99.62 | Muthniu                     | Chargaff Ring                  | Raw          |
|       99.63 | Nakulha                     | Tucker City                    | Manufactured |
|       99.68 | CPC 22 212                  | Roed Odegaard City             | Encoded      |
|       99.69 | Jafnhau                     | Battuta Port                   | Raw          |
|       99.70 | Pared                       | Reed Station                   | Manufactured |
|       99.78 | Turir                       | Brooks Terminal                | Encoded      |
|      100.04 | Una                         | Hoard Orbital                  | Encoded      |
|      100.11 | NLTT 52560                  | Gresley Orbital                | Encoded      |
|      100.18 | LTT 2513                    | Kadenyuk Gateway               | Encoded      |
|      100.22 | Mantuate                    | Marriott Ring                  | Raw          |
|      100.38 | Andlit                      | Hilmers Ring                   | Encoded      |
|      100.55 | Meinjhalara                 | Fremont Port                   | Encoded      |
|      100.76 | Wolf 110                    | Clute City                     | Encoded      |
|      100.84 | Kuruacani                   | Fujimori Hub                   | Manufactured |
|      100.89 | Rotanev                     | Ride Ring                      | Encoded      |
|      100.98 | Kaukamine                   | Vinci Station                  | Encoded      |
|      100.99 | Utar                        | Melroy City                    | Manufactured |
|      101.13 | Shenich                     | Wafer Terminal                 | Encoded      |
|      101.25 | BD+19 2443                  | Clifford Dock                  | Raw          |
|      101.31 | Alfheim                     | Grant Terminal                 | Manufactured |
|      101.38 | Imantana                    | Brongniart Orbital             | Manufactured |
|      101.49 | Latjal                      | Skvortsov Terminal             | Manufactured |
|      101.53 | Ngugirawa                   | Hadfield Enterprise            | Raw          |
|      101.56 | Sorbago                     | Hencke Orbital                 | Raw          |
|      101.58 | LHS 3631                    | Burbank Hub                    | Manufactured |
|      101.61 | Hmar                        | Wiley Terminal                 | Raw          |
|      101.63 | Wulpurna                    | Lousma Enterprise              | Manufactured |
|      101.67 | 35 Leonis                   | Potrykus City                  | Raw          |
|      101.91 | Lumba                       | Fujimori Orbital               | Manufactured |
|      101.93 | Awawar                      | Cartwright Orbital             | Encoded      |
|      102.01 | Tegidana                    | Dickson Settlement             | Raw          |
|      102.23 | Alano                       | Leestma Port                   | Encoded      |
|      102.41 | Midgard                     | Rontgen Port                   | Raw          |
|      102.43 | Kathans                     | Cantor Hub                     | Raw          |
|      102.46 | 13 Trianguli                | Bartoe Hub                     | Raw          |
|      102.50 | LTT 9097                    | Fox Gateway                    | Encoded      |
|      102.69 | Udegoci                     | Kroehl Orbital                 | Encoded      |
|      102.75 | Ross 706                    | Shatalov Dock                  | Manufactured |
|      102.81 | Hunbul                      | Hartlib Orbital                | Raw          |
|      102.83 | Wonneriti                   | Coulomb Terminal               | Raw          |
|      102.95 | Kaushpoos                   | Neville Horizons               | Encoded      |
|      103.23 | Disci                       | Snodgrass Orbital              | Encoded      |
|      103.25 | Banda                       | Poleshchuk Port                | Raw          |
|      103.31 | Nyoru                       | Bombelli Port                  | Encoded      |
|      103.37 | Wolf 318                    | Gidzenko Enterprise            | Manufactured |
|      103.41 | Ragnorak                    | Morgan Orbital                 | Manufactured |
|      103.42 | RMK 6                       | Zudov Hub                      | Manufactured |
|      103.49 | Yavapai                     | Virtanen Gateway               | Manufactured |
|      103.72 | Tai Qing                    | Soto Station                   | Encoded      |
|      103.72 | La Tenha                    | Rozhdestvensky Horizons        | Encoded      |
|      103.77 | LTT 1483                    | Hedin Gateway                  | Manufactured |
|      103.77 | Cantjarisni                 | Cochrane Enterprise            | Encoded      |
|      103.86 | Kolaga                      | Britnev Hub                    | Encoded      |
|      103.90 | Changda                     | Bondar Mines                   | Raw          |
|      104.04 | Conchucos                   | Bereznyak Dock                 | Raw          |
|      104.20 | Cempsigi                    | Flint Terminal                 | Raw          |
|      104.49 | Tyrfing                     | Cheli City                     | Manufactured |
|      104.59 | Har Pahary                  | Leonard Station                | Encoded      |
|      104.61 | Akuni                       | Vinci Orbital                  | Manufactured |
|      104.69 | Leucosimha                  | Scott Station                  | Manufactured |
|      104.75 | Thep No Cha                 | Garay Terminal                 | Raw          |
|      104.92 | Lenchis                     | Dietz Gateway                  | Manufactured |
|      104.97 | Hranit                      | Al-Jazari Orbital              | Raw          |
|      105.07 | CD-82 331                   | Lee Dock                       | Manufactured |
|      105.22 | ALS 16791                   | Malerba Terminal               | Manufactured |
|      105.23 | Narri                       | Bobko City                     | Raw          |
|      105.42 | LTT 7979                    | Steinmuller Gateway            | Raw          |
|      105.46 | Gladyak                     | Anthony Terminal               | Manufactured |
|      105.46 | Rio Po                      | Ride Enterprise                | Raw          |
|      105.52 | Pikum                       | Rushworth Station              | Manufactured |
|      105.56 | Ngbato                      | Kornbluth Orbital              | Manufactured |
|      105.84 | GCRV 61007                  | Ohm Dock                       | Manufactured |
|      105.84 | Omicron Columbae            | Alexander Dock                 | Encoded      |
|      105.90 | Zosi                        | Citi Enterprise                | Raw          |
|      106.18 | Mundjiga                    | Sagan Port                     | Encoded      |
|      106.27 | 109 Piscium                 | Ising Dock                     | Manufactured |
|      106.38 | Tau-1 Gruis                 | Kelly Station                  | Raw          |
|      106.40 | Cocorix                     | Miletus Dock                   | Manufactured |
|      106.49 | Banisas                     | Weyn Ring                      | Encoded      |
|      106.63 | Kokoller                    | Utley Hub                      | Manufactured |
|      106.74 | 38 Virginis                 | Bamford Ring                   | Manufactured |
|      106.89 | Njikan                      | Smeaton Port                   | Encoded      |
|      106.90 | Bestakas                    | Norton Station                 | Manufactured |
|      107.00 | Tjindjin                    | Cousin Ring                    | Encoded      |
|      107.17 | BD+22 2271                  | Wankel Station                 | Raw          |
|      107.23 | Edanditis                   | Wisoff Port                    | Manufactured |
|      107.28 | LTT 2337                    | Bowen Terminal                 | Encoded      |
|      107.29 | Smethells 56                | Moisuc Dock                    | Encoded      |
|      107.62 | Kalasar                     | Hedley Terminal                | Raw          |
|      107.65 | Mudhrid                     | Payne-Scott City               | Manufactured |
|      107.68 | Trumuye                     | Yakovlev Port                  | Raw          |
|      107.68 | Uzbekree                    | Armstrong City                 | Manufactured |
|      107.71 | Njulngan                    | Tesla Terminal                 | Raw          |
|      107.72 | Finteno                     | Kolmogorov Station             | Encoded      |
|      107.78 | Coriabog                    | Carter Enterprise              | Raw          |
|      107.86 | Kulingga                    | Vogel Gateway                  | Raw          |
|      107.99 | Capoos                      | Hirase Enterprise              | Manufactured |
|      108.04 | Otshirvani                  | Xuanzang Station               | Raw          |
|      108.22 | Nogatas                     | Wilhelm von Struve Dock        | Raw          |
|      108.22 | San Muss                    | Fraas Ring                     | Manufactured |
|      108.24 | Catun                       | Gardner Orbital                | Encoded      |
|      108.28 | Tsohodiae                   | Navigator Platform             | Manufactured |
|      108.36 | CD-30 9687                  | Savitskaya Ring                | Manufactured |
|      108.37 | BD+50 1864                  | Rothman Dock                   | Raw          |
|      108.49 | LTT 16548                   | Tyson Gateway                  | Encoded      |
|      108.50 | Baila                       | Celsius Gateway                | Manufactured |
|      108.56 | Tz'utuls                    | Kanwar Orbital                 | Encoded      |
|      108.72 | CD-25 636                   | Fieseler Dock                  | Raw          |
|      108.73 | LTT 5013                    | Margulis Station               | Encoded      |
|      108.80 | Qi Yomisii                  | Seddon Terminal                | Encoded      |
|      108.81 | Bango                       | Leiber Orbital                 | Raw          |
|      108.82 | LP 158-2                    | Winne Ring                     | Manufactured |
|      109.00 | Sokolsci                    | Manarov Vision                 | Encoded      |
|      109.01 | Haste                       | Roberts Ring                   | Manufactured |
|      109.13 | Kokobii                     | Bauman Station                 | Encoded      |
|      109.44 | LTT 2963                    | Leestma City                   | Manufactured |
|      109.75 | Lembava                     | Goldstein Port                 | Encoded      |
|      109.78 | Jambavan                    | Land Orbital                   | Encoded      |
|      109.87 | Yembo                       | Naddoddur Terminal             | Encoded      |
|      109.91 | Lalande 27958               | Kirchoff Port                  | Manufactured |
|      110.08 | MCC 549                     | Biggle Dock                    | Manufactured |
|      110.17 | Bhotho                      | Baker Holdings                 | Manufactured |
|      110.23 | CD-54 9671                  | Somayaji Terminal              | Encoded      |
|      110.27 | Pyemmatsety                 | McKay Settlement               | Raw          |
|      110.27 | Wulganda                    | Cassidy Orbital                | Raw          |
|      110.27 | Nervi                       | Savitskaya Vision              | Encoded      |
|      110.36 | Kulungan                    | Bursch Enterprise              | Manufactured |
|      110.36 | Haeduwong                   | Bulleid Settlement             | Manufactured |
|      110.36 | Babas                       | Binder Orbital                 | Manufactured |
|      110.43 | LTT 11648                   | Wiberg Hub                     | Manufactured |
|      110.50 | Sherbo                      | Albategnius Terminal           | Raw          |
|      110.69 | Gaunab                      | Veron Port                     | Raw          |
|      110.75 | Estae                       | Cogswell Dock                  | Manufactured |
|      110.95 | CD-34 9020                  | Back Enterprise                | Raw          |
|      111.03 | 63 Geminorum                | Fairbairn Enterprise           | Raw          |
|      111.36 | CD-28 12950                 | Keyes Port                     | Encoded      |
|      111.37 | Sedi                        | Beregovoi Orbital              | Raw          |
|      111.45 | Arexe                       | Janes Horizons                 | Encoded      |
|      111.56 | LTT 4961                    | Conway City                    | Encoded      |
|      111.61 | LP 490-68                   | Shaara Ring                    | Manufactured |
|      111.83 | Capoya                      | Wilhelm Station                | Manufactured |
|      111.83 | Har Itariu                  | Grandin City                   | Encoded      |
|      112.03 | Songlalis                   | Fernandez Gateway              | Manufactured |
|      112.06 | NLTT 8653                   | Seamans Landing                | Encoded      |
|      112.07 | Gambara                     | Tarelkin Ring                  | Manufactured |
|      112.12 | Mu Telescopii               | Weil Orbital                   | Manufactured |
|      112.14 | Loharii                     | Dorsett Port                   | Encoded      |
|      112.15 | LTT 15278                   | Zholobov Enterprise            | Encoded      |
|      112.17 | Kaliki                      | Oren City                      | Encoded      |
|      112.36 | Kanaheim                    | Sutter Dock                    | Raw          |
|      112.36 | BD-22 1050                  | Barratt Port                   | Manufactured |
|      112.39 | Jarowair                    | Julian Hub                     | Raw          |
|      112.40 | Callici                     | Czerneda Enterprise            | Raw          |
|      112.54 | BD+11 2925                  | Zajdel Terminal                | Raw          |
|      112.64 | Ross 491                    | Ozanne Station                 | Raw          |
|      112.76 | LP 802-68                   | Pausch Enterprise              | Raw          |
|      112.92 | Kotaition                   | Gardner Landing                | Encoded      |
|      113.06 | Dongzi                      | Penrose Ring                   | Raw          |
|      113.15 | Kausan                      | Lyulka Ring                    | Manufactured |
|      113.29 | Kher                        | Arkwright Port                 | Manufactured |
|      113.29 | Firenses                    | Roberts Gateway                | Raw          |
|      113.37 | Arawere                     | Korolyov Hub                   | Raw          |
|      113.42 | Oisi                        | Sheckley Station               | Encoded      |
|      113.59 | Soch                        | Whitcomb Ring                  | Encoded      |
|      113.61 | Thereila                    | Gann Dock                      | Manufactured |
|      113.65 | Kotigeni                    | Shaw Port                      | Raw          |
|      113.66 | Aobrogii                    | Thuot Hub                      | Manufactured |
|      113.77 | Lotia                       | Bass Horizons                  | Raw          |
|      113.80 | UGP 184                     | Bohrmann Terminal              | Manufactured |
|      113.84 | Shonpono                    | Tucker Enterprise              | Encoded      |
|      113.86 | Wong Guin                   | Heiles Terminal                | Encoded      |
|      114.01 | NLTT 8234                   | Flettner Vision                | Manufactured |
|      114.13 | Canezti                     | Stewart Port                   | Manufactured |
|      114.14 | Santjalan                   | Cantor Terminal                | Encoded      |
|      114.28 | LTT 7488                    | Rubin Vision                   | Encoded      |
|      114.30 | Aleumoxii                   | Ferguson City                  | Encoded      |
|      114.32 | Peche                       | Pavlov Station                 | Manufactured |
|      114.35 | Polahukuna                  | Hardy Dock                     | Manufactured |
|      114.38 | BD+73 447                   | Johnson City                   | Encoded      |
|      114.39 | Wiljanherbi                 | Bayliss Enterprise             | Manufactured |
|      114.42 | Tian Di                     | Hornblower Gateway             | Manufactured |
|      114.43 | Gabin                       | Shipton Terminal               | Raw          |
|      114.54 | Pongo                       | Antonelli City                 | Manufactured |
|      114.60 | CD-26 14379                 | Frimout Terminal               | Manufactured |
|      114.66 | Jurokkju                    | Nakamura Port                  | Raw          |
|      114.68 | CD-63 1560                  | Watanabe City                  | Encoded      |
|      114.76 | Airsetanoa                  | Baturin Orbital                | Manufactured |
|      114.80 | Kamuti                      | Smith Terminal                 | Raw          |
|      115.00 | Rauta                       | Giraud Station                 | Encoded      |
|      115.01 | Thiansi                     | Worlidge Port                  | Encoded      |
|      115.03 | LTT 6714                    | Lunan Station                  | Encoded      |
|      115.08 | Kokojawa                    | Tayler Enterprise              | Raw          |
|      115.15 | Chao Wu                     | Tanaka Port                    | Raw          |
|      115.22 | LTT 8260                    | Biesbroeck Hub                 | Raw          |
|      115.28 | Indri                       | Shelley Mines                  | Raw          |
|      115.37 | Jok Isuani                  | Cassidy Port                   | Raw          |
|      115.47 | HR 1257                     | Jacobi Platform                | Encoded      |
|      115.58 | LTT 12294                   | Haignere Ring                  | Encoded      |
|      115.66 | Valkups                     | Henry Dock                     | Raw          |
|      115.86 | Guoji                       | Kirchoff Terminal              | Manufactured |
|      116.01 | Windit                      | Delsanti Hub                   | Raw          |
|      116.05 | Kotait                      | Burke Gateway                  | Raw          |
|      116.06 | GCRV 61377                  | Mallett Port                   | Manufactured |
|      116.16 | Shottunche                  | Jones Dock                     | Manufactured |
|      116.18 | Anotchadiae                 | Malerba Orbital                | Raw          |
|      116.35 | BD+56 1773                  | Bertin City                    | Encoded      |
|      116.36 | Sha Wa                      | Horowitz Dock                  | Raw          |
|      116.50 | Zeta Pictoris               | Hickman Orbital                | Manufactured |
|      116.52 | Dis Pater                   | Lazutkin Gateway               | Encoded      |
|      116.55 | BV Phoenicis                | Aoki Dock                      | Raw          |
|      116.58 | Haithis                     | Crippen Port                   | Manufactured |
|      116.62 | LP 888-62                   | Goodricke Port                 | Encoded      |
|      116.64 | Uracaretii                  | Northrop Ring                  | Manufactured |
|      116.65 | Peradjariu                  | Vries Port                     | Manufactured |
|      116.68 | Condovichs                  | Walters Port                   | Raw          |
|      116.91 | Carpaka                     | Whitney Dock                   | Encoded      |
|      116.97 | Piriti                      | Fadlan Enterprise              | Raw          |
|      116.98 | CD-44 10336                 | Margulis Station               | Encoded      |
|      117.00 | Maidubii                    | Nielsen Orbital                | Manufactured |
|      117.12 | NLTT 33782                  | Nearchus City                  | Raw          |
|      117.14 | Pachita                     | Al-Battani Ring                | Encoded      |
|      117.26 | Wen Tsao Gu                 | Oxley Dock                     | Manufactured |
|      117.42 | Kuan Ti                     | Niemeyer Hub                   | Raw          |
|      117.53 | Loki Tan                    | Worden City                    | Manufactured |
|      117.63 | CH Aquilae                  | Cori Station                   | Manufactured |
|      117.65 | Igbirikan                   | Barratt Hub                    | Raw          |
|      117.75 | BD-17 1955                  | Wang Gateway                   | Raw          |
|      117.79 | Bugayaman                   | Asprin Orbital                 | Encoded      |
|      117.81 | Apadecavi                   | Fontenay City                  | Encoded      |
|      117.81 | Apishna                     | Hamuy Port                     | Raw          |
|      117.86 | Ayoro Nage                  | Ashby Terminal                 | Manufactured |
|      117.89 | Unegak Maku                 | Porsche Dock                   | Encoded      |
|      118.06 | Lakheo                      | Leeuwenhoek Port               | Manufactured |
|      118.08 | Sak Manka                   | Impey Vision                   | Encoded      |
|      118.16 | Contien                     | Eanes Vision                   | Manufactured |
|      118.18 | CD-36 1535                  | Aoki Hub                       | Raw          |
|      118.21 | Nu Wana                     | Cori Colony                    | Manufactured |
|      118.27 | LTT 4851                    | Cabana Gateway                 | Manufactured |
|      118.31 | Wu Kong                     | Ryman Dock                     | Manufactured |
|      118.36 | Erivia                      | Cottenot Hub                   | Encoded      |
|      118.45 | Atata                       | Zahn Enterprise                | Encoded      |
|      118.47 | HR 2798                     | Cugnot Station                 | Encoded      |
|      118.55 | Clayahu                     | von Biela Dock                 | Raw          |
|      118.60 | Farowalan                   | Bamford City                   | Raw          |
|      118.67 | Ruganike                    | Armero Hub                     | Raw          |
|      118.82 | BD-20 2665                  | Curie Port                     | Encoded      |
|      118.88 | Asgar                       | Windt Station                  | Manufactured |
|      119.12 | Borasetani                  | Katzenstein Terminal           | Encoded      |
|      119.24 | Ross 342                    | Gilliland Station              | Raw          |
|      119.39 | Lu Pardan                   | Sacco Port                     | Encoded      |
|      119.47 | Suessetani                  | Gutierrez Orbital              | Manufactured |
|      119.55 | Bondhr                      | Jakes Orbital                  | Manufactured |
|      119.64 | HM Bootis                   | Fernandez Co-operative         | Raw          |
|      119.75 | Nangkano                    | Sarafanov Hub                  | Manufactured |
|      119.88 | Nurundere                   | Gubarev Port                   | Raw          |
|      120.03 | Iota Crucis                 | Drebbel Terminal               | Raw          |
|      120.04 | Mara                        | Lange Vision                   | Manufactured |
|      120.28 | Bylgit                      | Thornycroft Gateway            | Raw          |
|      120.30 | 1 G. Caeli                  | Smoot Gateway                  | Raw          |
|      120.31 | Wolf 1326                   | Frimout Terminal               | Raw          |
|      120.36 | Badia                       | Kempf Station                  | Raw          |
|      120.53 | HIP 43310                   | MacKellar Dock                 | Manufactured |
|      120.54 | Gliese 9073                 | Gresley Orbital                | Raw          |
|      120.65 | Bamu                        | Tiedemann Dock                 | Raw          |
|      120.77 | Morronii                    | Wheelock Terminal              | Raw          |
|      120.86 | HIP 18527                   | Zacuto Ring                    | Raw          |
|      120.89 | Rutena                      | Weitz City                     | Encoded      |
|      121.07 | Uzumoku                     | Sverdrup Ring                  | Encoded      |
|      121.25 | Anumclaw                    | Jensen Ring                    | Raw          |
|      121.28 | Wolf 1241                   | Thomas Orbital                 | Raw          |
|      121.28 | Minagnaiwa                  | Fettman Terminal               | Raw          |
|      121.31 | HIP 54697                   | Davy Terminal                  | Encoded      |
|      121.48 | Kuri Hsing                  | North Terminal                 | Raw          |
|      121.49 | Panik                       | Bennett City                   | Raw          |
|      121.56 | Aasgaa                      | Steiner Platform               | Manufactured |
|      121.64 | Volkhabe                    | Offutt Enterprise              | Raw          |
|      121.75 | HR 7808                     | Haack Hub                      | Raw          |
|      121.79 | Mehime                      | Bode Vision                    | Raw          |
|      121.82 | Gandza                      | Tesla Dock                     | Encoded      |
|      121.84 | Muncheim                    | Hubble Ring                    | Manufactured |
|      121.87 | HIP 80242                   | Csoma Ring                     | Encoded      |
|      121.87 | Atiusia                     | Ziljak Port                    | Raw          |
|      121.89 | Djeranses                   | Hauck Gateway                  | Manufactured |
|      121.93 | HIP 79152                   | Makarov City                   | Raw          |
|      122.09 | HIP 7396                    | Seares Ring                    | Manufactured |
|      122.11 | Caeritis                    | Bernoulli Vision               | Encoded      |
|      122.26 | Ngandowa                    | Fisher Orbital                 | Raw          |
|      122.28 | CD-86 4                     | Cummings Dock                  | Encoded      |
|      122.30 | Kuntae                      | Tognini Horizons               | Encoded      |
|      122.37 | Cadubi                      | Leydenfrost Hub                | Raw          |
|      122.37 | Chuquiba                    | Beckman Port                   | Manufactured |
|      122.46 | Koljankirna                 | Jendrassik Vision              | Encoded      |
|      122.54 | Turona                      | McNair Terminal                | Encoded      |
|      122.61 | Recuanque                   | Vishweswarayya Enterprise      | Raw          |
|      122.77 | Taras                       | Schmitz Gateway                | Manufactured |
|      122.97 | Bidiono                     | Wellman Dock                   | Manufactured |
|      122.98 | Ts'in Yanka                 | Linge Gateway                  | Raw          |
|      123.09 | Teveri                      | Wiley Port                     | Raw          |
|      123.11 | Khuzwane                    | Fiennes Port                   | Raw          |
|      123.13 | Polevnic                    | Tanner Settlement              | Raw          |
|      123.18 | Wikanawal                   | Schwann Hub                    | Manufactured |
|      123.19 | HIP 8865                    | Solovyev Port                  | Manufactured |
|      123.26 | Aitvanec                    | Julian Gateway                 | Manufactured |
|      123.26 | Moriosong                   | Kwolek City                    | Raw          |
|      123.37 | Bunuvivia                   | Ellison Enterprise             | Manufactured |
|      123.57 | Lactonacaya                 | Lavochkin Terminal             | Raw          |
|      123.62 | 73 Rho Cygni                | Edgeworth Platform             | Raw          |
|      123.65 | Prajau                      | Landis Orbital                 | Manufactured |
|      123.75 | Usipedi                     | Ali Dock                       | Raw          |
|      123.89 | HIP 8525                    | Wohler Mines                   | Raw          |
|      123.99 | HIP 36954                   | Parry Enterprise               | Encoded      |
|      124.10 | Anedjete                    | Struzan Hub                    | Raw          |
|      124.12 | Irukami                     | Lanchester City                | Manufactured |
|      124.13 | Tepi                        | Fibonacci Orbital              | Manufactured |
|      124.24 | Omagatae                    | Hiroyuki Vision                | Encoded      |
|      124.32 | Yab Cameni                  | South Orbital                  | Raw          |
|      124.36 | Aninohini                   | Griffith Orbital               | Raw          |
|      124.40 | Galapana                    | Diesel Station                 | Manufactured |
|      124.40 | Tougeir                     | Janes Dock                     | Manufactured |
|      124.45 | FAUST 68                    | Slipher Hub                    | Encoded      |
|      124.48 | Kamaki                      | Shinjo Station                 | Encoded      |
|      124.50 | HIP 23259                   | Banks Port                     | Raw          |
|      124.55 | CD-40 395                   | Oort Port                      | Raw          |
|      124.80 | Ongkala                     | Lukyanenko Orbital             | Encoded      |
|      124.81 | Latjil                      | Al-Farabi Hub                  | Encoded      |
|      124.90 | HIP 114044                  | Gurney Terminal                | Raw          |
|      125.07 | Sigma Geminorum             | Fulton City                    | Encoded      |
|      125.15 | Hernir                      | Gunn Ring                      | Raw          |
|      125.36 | HIP 9989                    | Capek Orbital                  | Manufactured |
|      125.44 | HIP 80221                   | Griggs City                    | Raw          |
|      125.56 | HIP 13179                   | Avdeyev City                   | Raw          |
|      125.60 | Tsanluo Wu                  | Deere Dock                     | Manufactured |
|      125.76 | HIP 20342                   | Bowen City                     | Manufactured |
|      125.86 | Lalande 11206               | Kovalyonok Gateway             | Raw          |
|      125.91 | HIP 112506                  | Antonelli Terminal             | Manufactured |
|      125.97 | Zhu Vedani                  | Pratchett Vision               | Raw          |
|      126.08 | HIP 47110                   | Francisco de Almeida Ring      | Raw          |
|      126.08 | HIP 36037                   | Lyakhov Terminal               | Raw          |
|      126.09 | Amaragua                    | Bean Gateway                   | Raw          |
|      126.10 | HIP 4103                    | Utley Dock                     | Manufactured |
|      126.16 | HIP 76203                   | Pettit Terminal                | Manufactured |
|      126.23 | Devane                      | Davies City                    | Encoded      |
|      126.30 | HIP 116213                  | Yolen Hub                      | Encoded      |
|      126.43 | Liu Huang                   | McDivitt Dock                  | Encoded      |
|      126.74 | 60 b Leonis                 | Flade Port                     | Manufactured |
|      126.99 | Hilla                       | Siemens Vision                 | Manufactured |
|      127.02 | Tricorii                    | Hippalus Orbital               | Manufactured |
|      127.05 | Jeirskoku                   | Tanner Hub                     | Manufactured |
|      127.08 | Kamito                      | Newcomb Hub                    | Encoded      |
|      127.19 | HIP 46422                   | Gustafsson Orbital             | Raw          |
|      127.23 | HIP 105483                  | Kirtley Dock                   | Raw          |
|      127.27 | Gwri                        | Poindexter Landing             | Raw          |
|      127.29 | Balis                       | Hardy Dock                     | Raw          |
|      127.31 | HIP 107385                  | Winthrop Enterprise            | Raw          |
|      127.32 | Diaguandri                  | Ray Gateway                    | Encoded      |
|      127.42 | HIP 22961                   | Saberhagen Orbital             | Encoded      |
|      127.58 | Ritila                      | Kennedy Dock                   | Manufactured |
|      128.05 | HR 3584                     | Gooch Orbital                  | Raw          |
|      128.13 | Likohochna                  | Aksyonov Colony                | Raw          |
|      128.13 | HR 4926                     | Yano Orbital                   | Manufactured |
|      128.22 | Segoveduwa                  | Mason Hub                      | Encoded      |
|      128.30 | Cadupi                      | Grunsfeld Station              | Raw          |
|      128.36 | Gunapa                      | Haber Orbital                  | Raw          |
|      128.41 | CD-62 1454                  | Baille City                    | Encoded      |
|      128.46 | HIP 82495                   | Townshend Terminal             | Manufactured |
|      128.78 | HIP 57350                   | Knapp Enterprise               | Raw          |
|      128.78 | San Huang                   | Joliot-Curie Port              | Encoded      |
|      129.00 | Ix                          | Scully-Power Station           | Encoded      |
|      129.00 | HIP 108158                  | Alexeyev Terminal              | Encoded      |
|      129.18 | HIP 9753                    | Harawi Enterprise              | Raw          |
|      129.21 | Muracing                    | Bethe Station                  | Encoded      |
|      129.49 | Mehuenomici                 | Bohr Gateway                   | Encoded      |
|      129.55 | Zenufangwe                  | Murray Port                    | Manufactured |
|      129.60 | Ida Dhor                    | Vancouver Gateway              | Encoded      |
|      129.66 | HIP 50694                   | Zebrowski Enterprise           | Encoded      |
|      129.68 | Ixbakald                    | Hanke-Woods Orbital            | Encoded      |
|      129.73 | Fotla                       | Penzias Dock                   | Encoded      |
|      129.84 | Virus                       | Macgregor Dock                 | Manufactured |
|      130.03 | Prthi                       | Noakes Gateway                 | Manufactured |
|      130.11 | Garabaei                    | Ampere Hub                     | Raw          |
